asset_id,ac-milan-fan-token,alpine-f1-team-fan-token,argentine-football-association-fan-token,arsenal-fan-token,as-roma-fan-token,atletico-madrid,bitcoin,chiliz,croatian-ff-fan-token,ethereum,fc-barcelona-fan-token,fc-porto,galatasaray-fan-token,inter-milan-fan-token,juventus-fan-token,lazio-fan-token,manchester-city-fan-token,napoli-fan-token,og-fan-token,paris-saint-germain-fan-token,portugal-national-team-fan-token,santos-fc-fan-token,trabzonspor-fan-token
ac-milan-fan-token,1.0,0.48578753966828836,0.32445771503835563,0.5383865211256277,0.5867926336665743,0.5897486934376938,0.4055457562260883,0.47653673825549286,0.09605638656066316,0.44006779022082926,0.602167572177384,0.6545915714074839,0.3653570343139692,0.5475710006359515,0.6564534673784885,0.6491577765440313,0.6897684182650111,0.41635353306505757,0.43055283203593486,0.6128752094219533,0.3068565020826039,0.5687515428636671,0.4151592489251938
alpine-f1-team-fan-token,0.48578753966828836,1.0,0.23598818996094995,0.32215022703248025,0.37247048281746603,0.41095815039112493,0.30522159962268036,0.3946143901352689,0.04294470986406704,0.34218196470388706,0.42582663543281,0.5504480581492617,0.24656091782737022,0.34657527474857924,0.4928791132248378,0.5912950124247607,0.4860453452100947,0.22930436007468225,0.3679872322773256,0.4059214890816241,0.22547688277241837,0.5107533859609036,0.2473201384305426
argentine-football-association-fan-token,0.32445771503835563,0.23598818996094995,1.0,0.30586287852831784,0.2772190754191616,0.28450956014439105,0.3183737624238625,0.4251758792155589,0.034551545077142976,0.31194594462243735,0.3438181999846169,0.3039629678103052,0.17907838358177924,0.2898735236618944,0.2973648245316437,0.31949240479046837,0.3072727674475364,0.1771384030078337,0.19443224879012724,0.32162937441741124,0.504858844326012,0.27295130671472506,0.1865046306682823
arsenal-fan-token,0.5383865211256277,0.32215022703248025,0.30586287852831784,1.0,0.4603176667622208,0.4912164702054207,0.34823289608017344,0.41976744144360717,0.02630084816440734,0.35932753492938024,0.5532606761451647,0.4464514736574829,0.3618832757192653,0.5881187024563538,0.5037296289105241,0.4535774199052089,0.5210801365214707,0.5003490753794861,0.2730816205697597,0.5473134462976142,0.3352495751918182,0.3899872555360578,0.3670757414309169
as-roma-fan-token,0.5867926336665743,0.37247048281746603,0.2772190754191616,0.4603176667622208,1.0,0.7032938502190502,0.3112221553607718,0.4331032456450706,0.07927051195439909,0.34187759356541475,0.5449298461287719,0.5155391272269282,0.366298911374956,0.45376430544735935,0.5431670106450985,0.5277600459172624,0.5094291606391506,0.31198025634139526,0.6082911666892437,0.47267581361421984,0.2403760314383994,0.46004247396582776,0.3274402030737247
atletico-madrid,0.5897486934376938,0.41095815039112493,0.28450956014439105,0.4912164702054207,0.7032938502190502,1.0,0.2977972896760224,0.4224215013687004,0.08579307386843633,0.3274623355740473,0.5705195213102516,0.5360934960022681,0.3496921415544457,0.4935538030566775,0.5920482002009267,0.5374452668219013,0.5811919486821076,0.3446737520487142,0.5565499096826488,0.5245504978409801,0.2548755250386007,0.47282624907021453,0.3179231178969588
bitcoin,0.4055457562260883,0.30522159962268036,0.3183737624238625,0.34823289608017344,0.3112221553607718,0.2977972896760224,1.0,0.5241502952655795,0.11878460701726506,0.8308909265469315,0.379016266515957,0.402223268554891,0.26298086164415063,0.31438984049900587,0.36075327701027765,0.4010182104708747,0.3844471147459638,0.2511560760511286,0.2595997212990126,0.332870245561663,0.2867652627814389,0.3204119205063903,0.22580554210677894
chiliz,0.47653673825549286,0.3946143901352689,0.4251758792155589,0.41976744144360717,0.4331032456450706,0.4224215013687004,0.5241502952655795,1.0,0.11428745975130129,0.5546748066535138,0.554009319560931,0.555822040292972,0.3457053908919458,0.41339353912082244,0.4579928767080777,0.5385572536367683,0.5240999164304485,0.33710959157632725,0.36412113456076467,0.42055028734789185,0.4110303904124026,0.4919912298975901,0.319608320031475
croatian-ff-fan-token,0.09605638656066316,0.04294470986406704,0.034551545077142976,0.02630084816440734,0.07927051195439909,0.08579307386843633,0.11878460701726506,0.11428745975130129,1.0,0.0911307829862243,0.09403292995527572,0.09427789067438347,0.019573910310539316,0.04434127956950254,0.053862405610965065,0.11299791423839811,0.04627274177243327,0.003872750752994977,-0.011106034558032043,0.089061724122055,0.07668691344477523,0.0827414471390428,0.04785209705604257
ethereum,0.44006779022082926,0.34218196470388706,0.31194594462243735,0.35932753492938024,0.34187759356541475,0.3274623355740473,0.8308909265469315,0.5546748066535138,0.0911307829862243,1.0,0.40854804696994634,0.43803748777223483,0.312729940190137,0.3538390934957682,0.3970295311471383,0.42380462180356493,0.42421686406543263,0.26336162745898956,0.2763900653443571,0.34909517533424395,0.29710359183213125,0.34720461641933664,0.2566074628460051
fc-barcelona-fan-token,0.602167572177384,0.42582663543281,0.3438181999846169,0.5532606761451647,0.5449298461287719,0.5705195213102516,0.379016266515957,0.554009319560931,0.09403292995527572,0.40854804696994634,1.0,0.6150486899388913,0.43373659545534654,0.5441904611447156,0.6105876048972265,0.6093227951451766,0.6347851641704032,0.43437417346078344,0.4355141658129396,0.5868991786656998,0.3151853133211774,0.5610140491808282,0.403609275079428
